,from,to,Weight
570,548,210,18
1185,595,210,8
156,502,355,5
125,502,82,5
524,544,355,4
1435,622,369,4
162,502,442,4
393,536,369,4
1402,622,213,3
1045,592,150,3
899,581,150,3
769,570,213,3
1391,622,150,3
527,544,412,3
949,582,150,3
142,502,202,3
531,544,442,3
492,544,82,3
1386,622,125,3
509,544,202,3
174,506,215,3
400,537,215,3
671,555,197,3
542,546,123,3
1113,594,213,3
447,543,151,3
575,548,246,3
1102,594,150,3
72,496,215,3
867,578,26,2
495,544,95,2
147,502,288,2
138,502,174,2
1154,594,452,2
149,502,299,2
647,552,435,2
1461,622,486,2
660,555,3,2
1337,619,88,2
353,532,120,2
685,556,133,2
683,556,88,2
1139,594,361,2
1023,589,397,2
678,555,435,2
1022,589,316,2
1143,594,382,2
675,555,367,2
1020,589,166,2
1019,589,34,2
1348,619,435,2
669,555,133,2
1345,619,367,2
666,555,88,2
1150,594,410,2
663,555,72,2
1338,619,133,2
1165,594,486,2
133,502,136,2
878,580,64,2
875,579,356,2
231,516,96,2
925,581,382,2
969,582,410,2
1212,596,166,2
1213,596,327,2
931,581,410,2
578,548,273,2
269,526,246,2
233,516,245,2
592,548,438,2
964,582,382,2
962,582,361,2
551,548,30,2
245,519,163,2
948,582,125,2
250,519,432,2
251,519,469,2
923,581,361,2
1207,595,467,2
158,502,412,2
622,552,88,2
159,502,416,2
642,552,367,2
688,556,367,2
879,580,206,2
637,552,295,2
1177,595,124,2
627,552,133,2
306,528,120,2
207,511,355,2
1293,611,4,2
986,585,283,2
518,544,299,2
296,527,469,2
1197,595,356,2
528,544,416,2
601,550,89,2
101,496,479,2
127,502,95,2
1135,594,338,2
1425,622,321,2
416,540,245,2
1438,622,382,2
1449,622,452,2
1081,594,41,2
1431,622,338,2
822,576,58,2
457,543,227,2
754,566,327,2
411,540,96,2
69,496,206,2
712,563,7,2
462,543,271,2
752,566,316,2
1443,622,410,2
20,492,356,2
751,566,166,2
392,536,305,2
1434,622,361,2
1063,592,361,2
1065,592,382,2
1408,622,245,2
55,496,64,2
733,563,355,2
826,576,188,2
1384,622,110,2
775,570,338,2
691,556,435,2
737,563,390,2
1071,592,410,2
1132,594,332,2
1078,593,123,2
774,570,321,2
1092,594,110,2
1374,622,86,2
1129,594,321,2
777,570,486,2
1377,622,96,2
1096,594,119,2
472,543,412,2
87,496,355,2
762,567,215,2
465,543,290,2
776,570,452,2
981,585,120,1
1058,592,304,1
1064,592,377,1
978,584,16,1
1060,592,332,1
982,585,125,1
984,585,142,1
1062,592,359,1
979,584,185,1
1061,592,333,1
983,585,126,1
1059,592,328,1
980,585,66,1
985,585,208,1
977,584,15,1
968,582,403,1
976,583,310,1
975,583,6,1
954,582,193,1
1072,592,425,1
955,582,194,1
956,582,261,1
957,582,281,1
958,582,301,1
959,582,328,1
960,582,332,1
961,582,359,1
963,582,377,1
1070,592,403,1
1069,592,393,1
965,582,388,1
1068,592,392,1
966,582,392,1
967,582,393,1
970,582,425,1
971,582,453,1
1067,592,388,1
972,582,457,1
1066,592,383,1
973,582,460,1
974,582,469,1
987,585,464,1
1055,592,281,1
1057,592,301,1
1016,588,156,1
1041,592,119,1
1009,587,286,1
1010,587,337,1
1011,587,350,1
1012,587,355,1
1040,592,115,1
1013,587,436,1
1039,592,110,1
1038,592,100,1
1037,592,47,1
1014,587,466,1
1015,588,35,1
1036,592,46,1
952,582,179,1
1035,592,3,1
988,586,38,1
1017,588,304,1
1034,591,412,1
1018,588,356,1
1033,591,356,1
1032,591,355,1
1021,589,289,1
1031,591,308,1
1030,591,291,1
1024,589,424,1
1029,591,257,1
1025,590,22,1
1026,590,167,1
1028,591,154,1
1027,591,145,1
1008,587,256,1
1042,592,123,1
1007,587,255,1
1043,592,124,1
989,586,56,1
1056,592,287,1
990,586,63,1
991,586,76,1
992,586,103,1
993,586,191,1
994,586,215,1
1054,592,261,1
995,586,272,1
996,586,286,1
997,586,350,1
998,586,368,1
999,586,413,1
1000,586,436,1
1001,586,466,1
1053,592,244,1
1052,592,218,1
1002,587,76,1
1051,592,194,1
1050,592,193,1
1003,587,172,1
1049,592,184,1
1048,592,179,1
1004,587,194,1
1047,592,178,1
1046,592,163,1
1005,587,239,1
1006,587,244,1
1044,592,125,1
953,582,184,1
917,581,301,1
951,582,178,1
837,576,351,1
835,576,320,1
834,576,285,1
833,576,282,1
832,576,279,1
831,576,247,1
830,576,241,1
829,576,240,1
828,576,215,1
827,576,209,1
825,576,139,1
824,576,125,1
823,576,64,1
821,576,57,1
820,576,52,1
819,576,39,1
818,576,33,1
817,576,21,1
836,576,344,1
838,576,370,1
815,575,49,1
839,576,472,1
856,577,343,1
855,577,331,1
854,577,325,1
853,577,313,1
852,577,304,1
851,577,298,1
850,577,283,1
849,577,177,1
848,577,144,1
847,577,133,1
846,577,126,1
845,577,125,1
844,577,103,1
843,577,88,1
842,577,63,1
841,577,56,1
840,577,29,1
816,575,99,1
814,574,370,1
950,582,163,1
793,571,383,1
791,571,304,1
790,571,300,1
789,571,252,1
788,571,244,1
787,571,230,1
786,571,218,1
785,571,217,1
784,571,196,1
783,571,124,1
782,571,82,1
781,571,64,1
780,571,13,1
779,571,7,1
778,571,3,1
773,570,314,1
772,570,265,1
771,570,222,1
792,571,379,1
794,571,390,1
813,574,344,1
795,571,439,1
812,573,415,1
811,573,195,1
810,573,74,1
809,572,480,1
808,572,439,1
807,572,429,1
806,572,415,1
805,572,406,1
804,572,399,1
803,572,389,1
802,572,331,1
801,572,325,1
800,572,313,1
799,572,298,1
798,572,144,1
797,572,29,1
796,571,452,1
857,577,367,1
858,577,389,1
859,577,399,1
927,581,392,1
924,581,377,1
922,581,359,1
921,581,356,1
920,581,332,1
919,581,328,1
918,581,303,1
1074,592,453,1
916,581,294,1
915,581,284,1
914,581,281,1
913,581,269,1
912,581,261,1
911,581,250,1
910,581,245,1
909,581,214,1
908,581,194,1
907,581,193,1
926,581,388,1
928,581,393,1
860,577,413,1
929,581,396,1
947,582,124,1
946,582,123,1
945,582,119,1
